10;.95;.95;.93;.87;.80;.73;.66;.60;.55;.50;.46;.43;.40;.37;.35;.33;.31;.29;.28;.26;.25;.24;.23;.22;.21;.20;.20;.19;.18;.18;.17;.17;.16;.16;.15;.15;.14;.14;.14;.13;.13;.13;.12;.12;.12;.12;.11;.11;.11;.11;.11;.10;.09;.08;.07;.07;.06;.06;.05;.05;.05;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02
11;.95;.95;.93;.89;.83;.76;.69;.63;.58;.53;.49;.46;.42;.40;.37;.35;.33;.31;.30;.28;.27;.26;.25;.24;.23;.22;.21;.20;.20;.19;.19;.18;.17;.17;.17;.16;.16;.15;.15;.15;.14;.14;.14;.13;.13;.13;.12;.12;.12;.12;.11;.11;.10;.09;.08;.07;.07;.06;.06;.06;.05;.05;.05;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02
12;.95;.95;.94;.90;.85;.79;.72;.66;.61;.56;.52;.49;.45;.42;.40;.37;.35;.34;.32;.31;.29;.28;.27;.26;.25;.24;.23;.22;.21;.21;.20;.19;.19;.18;.18;.17;.17;.16;.16;.15;.15;.15;.14;.14;.14;.13;.13;.13;.13;.12;.12;.12;.11;.09;.09;.08;.07;.07;.06;.06;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02
13;.95;.95;.94;.92;.87;.81;.75;.69;.64;.59;.55;.51;.48;.45;.42;.40;.38;.36;.34;.32;.31;.30;.28;.27;.26;.25;.24;.23;.23;.22;.21;.20;.20;.19;.19;.18;.18;.17;.17;.16;.16;.16;.15;.15;.15;.14;.14;.14;.13;.13;.13;.13;.11;.10;.09;.08;.08;.07;.07;.06;.06;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02
14;.95;.95;.95;.92;.88;.83;.77;.72;.67;.62;.58;.54;.50;.47;.44;.42;.40;.38;.36;.34;.33;.31;.30;.29;.28;.27;.26;.25;.24;.23;.22;.22;.21;.20;.20;.19;.19;.18;.18;.17;.17;.16;.16;.16;.15;.15;.15;.14;.14;.14;.14;.13;.12;.11;.10;.09;.08;.08;.07;.07;.06;.06;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02
15;.95;.95;.95;.93;.90;.85;.80;.75;.69;.65;.61;.57;.53;.50;.47;.45;.42;.40;.38;.36;.35;.33;.32;.31;.29;.28;.27;.26;.26;.25;.24;.23;.22;.22;.21;.21;.20;.20;.19;.19;.18;.18;.17;.17;.16;.16;.16;.15;.15;.15;.15;.14;.13;.11;.10;.09;.09;.08;.08;.07;.07;.06;.06;.06;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02
16;.95;.95;.95;.94;.91;.87;.82;.77;.72;.67;.63;.59;.56;.52;.49;.47;.44;.42;.40;.38;.37;.35;.34;.32;.31;.30;.29;.28;.27;.26;.25;.24;.24;.23;.22;.22;.21;.20;.20;.20;.19;.19;.18;.18;.17;.17;.17;.16;.16;.16;.15;.15;.13;.12;.11;.10;.09;.09;.08;.07;.07;.07;.06;.06;.06;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02
17;.95;.95;.95;.94;.92;.88;.84;.79;.74;.70;.65;.62;.58;.54;.51;.49;.46;.44;.42;.40;.38;.37;.35;.34;.33;.31;.30;.29;.28;.27;.26;.26;.25;.24;.24;.23;.22;.22;.21;.21;.20;.20;.19;.19;.18;.18;.18;.17;.17;.17;.16;.16;.14;.13;.11;.10;.10;.09;.08;.08;.07;.07;.07;.06;.06;.06;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02
18;.95;.95;.95;.94;.92;.89;.85;.80;.76;.72;.67;.64;.60;.57;.54;.51;.48;.46;.44;.42;.40;.38;.37;.36;.34;.33;.32;.31;.30;.29;.28;.27;.26;.25;.25;.24;.23;.23;.22;.22;.21;.21;.20;.20;.19;.19;.18;.18;.18;.17;.17;.17;.15;.13;.12;.11;.10;.09;.09;.08;.08;.07;.07;.07;.06;.06;.06;.06;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03
19;.95;.95;.95;.94;.93;.90;.86;.82;.78;.73;.69;.65;.62;.58;.55;.53;.50;.48;.46;.44;.42;.40;.38;.37;.36;.34;.33;.32;.31;.30;.29;.28;.27;.27;.26;.25;.25;.24;.23;.23;.22;.22;.21;.21;.20;.20;.19;.19;.19;.18;.18;.18;.16;.14;.13;.12;.11;.10;.09;.09;.08;.08;.07;.07;.07;.06;.06;.06;.06;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03
20;.95;.95;.95;.95;.93;.91;.87;.83;.79;.75;.71;.68;.64;.61;.58;.55;.52;.50;.48;.46;.44;.42;.40;.39;.37;.36;.35;.34;.33;.32;.31;.30;.29;.28;.27;.27;.26;.25;.25;.24;.23;.23;.22;.22;.21;.21;.21;.20;.20;.19;.19;.19;.17;.15;.14;.12;.11;.11;.10;.09;.09;.08;.08;.08;.07;.07;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03
21;.95;.95;.95;.95;.94;.92;.88;.85;.81;.77;.73;.69;.66;.62;.59;.56;.54;.51;.49;.47;.45;.43;.42;.40;.39;.37;.36;.35;.34;.33;.32;.31;.30;.29;.28;.27;.27;.26;.25;.25;.24;.24;.23;.23;.22;.22;.21;.21;.20;.20;.19;.19;.17;.15;.14;.13;.12;.11;.10;.09;.09;.08;.08;.07;.07;.07;.06;.06;.06;.06;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03
22;.95;.95;.95;.95;.94;.92;.89;.86;.82;.79;.75;.71;.68;.64;.61;.59;.56;.53;.51;.49;.47;.45;.43;.42;.40;.39;.38;.36;.35;.34;.33;.32;.31;.30;.29;.29;.28;.27;.27;.26;.25;.25;.24;.24;.23;.23;.22;.22;.21;.21;.20;.20;.18;.16;.14;.13;.12;.11;.10;.10;.09;.09;.08;.08;.07;.07;.07;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03
23;.95;.95;.95;.95;.94;.92;.90;.87;.84;.80;.76;.73;.69;.66;.63;.60;.57;.55;.53;.50;.48;.46;.45;.43;.42;.40;.39;.37;.36;.35;.34;.33;.32;.31;.30;.29;.29;.28;.27;.27;.26;.25;.25;.24;.24;.23;.23;.22;.22;.21;.21;.21;.18;.16;.15;.14;.13;.12;.11;.10;.10;.09;.08;.08;.08;.07;.07;.07;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03
24;.95;.95;.95;.95;.94;.93;.91;.88;.85;.81;.78;.74;.71;.68;.65;.62;.59;.56;.54;.52;.50;.48;.46;.44;.43;.41;.40;.39;.38;.36;.35;.34;.33;.32;.31;.31;.30;.29;.28;.28;.27;.26;.26;.25;.25;.24;.24;.23;.23;.22;.22;.21;.19;.17;.15;.14;.13;.12;.11;.10;.10;.09;.09;.08;.08;.08;.07;.07;.07;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03
25;.95;.95;.95;.95;.94;.93;.91;.89;.86;.83;.79;.76;.72;.69;.66;.63;.61;.58;.56;.53;.51;.49;.48;.46;.44;.43;.41;.40;.39;.37;.36;.35;.34;.33;.32;.31;.31;.30;.29;.28;.28;.27;.26;.26;.25;.25;.24;.24;.23;.23;.22;.22;.20;.18;.16;.15;.13;.12;.11;.11;.10;.10;.09;.09;.08;.08;.07;.07;.07;.07;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03
26;.95;.95;.95;.95;.95;.94;.92;.89;.87;.84;.80;.77;.74;.71;.68;.65;.62;.60;.57;.55;.53;.51;.49;.48;.46;.44;.43;.42;.40;.39;.38;.37;.36;.35;.34;.33;.32;.31;.30;.30;.29;.28;.28;.27;.26;.26;.25;.25;.24;.24;.23;.23;.20;.18;.17;.15;.14;.13;.12;.11;.11;.10;.10;.09;.09;.08;.08;.08;.07;.07;.07;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04
27;.95;.95;.95;.95;.95;.94;.92;.90;.88;.85;.81;.78;.75;.72;.69;.66;.64;.61;.59;.56;.54;.52;.50;.49;.47;.45;.44;.43;.41;.40;.39;.38;.37;.36;.35;.34;.33;.32;.31;.31;.30;.29;.29;.28;.28;.27;.26;.26;.25;.25;.24;.24;.21;.19;.17;.16;.15;.14;.13;.12;.11;.11;.10;.10;.09;.09;.08;.08;.08;.07;.07;.07;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04
28;.95;.95;.95;.95;.95;.94;.93;.91;.88;.86;.83;.80;.77;.74;.71;.68;.65;.63;.60;.58;.56;.54;.52;.50;.48;.47;.45;.44;.42;.41;.40;.39;.38;.37;.36;.35;.34;.33;.32;.32;.31;.30;.29;.29;.28;.28;.27;.26;.26;.25;.25;.25;.22;.20;.18;.16;.15;.14;.13;.12;.11;.11;.10;.10;.09;.09;.08;.08;.08;.07;.07;.07;.07;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04
29;.95;.95;.95;.95;.95;.94;.93;.91;.89;.87;.84;.81;.78;.75;.72;.69;.67;.64;.62;.59;.57;.55;.53;.51;.50;.48;.47;.45;.44;.42;.41;.40;.39;.38;.37;.36;.35;.34;.33;.33;.32;.31;.30;.30;.29;.28;.28;.27;.27;.26;.26;.25;.22;.20;.18;.17;.15;.14;.13;.12;.12;.11;.10;.10;.09;.09;.09;.08;.08;.07;.07;.07;.07;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04
30;.95;.95;.95;.95;.95;.94;.93;.92;.90;.87;.85;.82;.79;.76;.73;.70;.68;.65;.63;.61;.59;.57;.55;.53;.51;.49;.48;.47;.45;.44;.43;.41;.40;.39;.38;.37;.36;.35;.34;.34;.33;.32;.31;.31;.30;.29;.29;.28;.28;.27;.27;.26;.23;.21;.19;.17;.16;.15;.14;.13;.12;.11;.11;.10;.10;.09;.09;.09;.08;.08;.08;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04
